Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,Business process,SPI.D5.2.10.GSBP,0,0,0
Afghanistan,AFG,Central government accounting status,SPI.D5.2.7.CGOV,0.5,0.5,0.5
Afghanistan,AFG,Classification of household consumption,SPI.D5.2.5.HOUS,1,1,1
Afghanistan,AFG,Classification of national industry,SPI.D5.2.3.CNIN,0,0,0
Afghanistan,AFG,Classification of status of employment,SPI.D5.2.6.EMPL,1,1,1
Afghanistan,AFG,Compilation of government finance statistics,SPI.D5.2.8.FINA,0.5,0.5,0.5
Afghanistan,AFG,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1,1,1
Afghanistan,AFG,CPI base year,SPI.D5.2.4.CPIBY,0.5,0.5,0.5
Afghanistan,AFG,CRVS (WDI),SPI.D4.2.3.CRVS,0,0,0
Afghanistan,AFG,Labor force participation rate by sex and age (%),SPI.D1.5.LFP,1,1,1
Afghanistan,AFG,National Accounts base year,SPI.D5.2.2.NABY,0.5,0.5,0.5
Afghanistan,AFG,Pillar 1 - Data Use - Score,SPI.INDEX.PIL1,80,80,66.6
Afghanistan,AFG,Pillar 2 - Data Services - Score,SPI.INDEX.PIL2,59.4333333333333,60,60
Afghanistan,AFG,Pillar 3 - Data Products - Score,SPI.INDEX.PIL3,78.6375,74.15,76.35625
Afghanistan,AFG,Pillar 4 - Data Sources - Score,SPI.INDEX.PIL4,22.8166666666667,27.4916666666667,27.4916666666667
Afghanistan,AFG,Pillar 5 - Data Infrastructure - Score,SPI.INDEX.PIL5,55,55,55
Afghanistan,AFG,Quality of Debt service data according to World Bank,SPI.D1.5.DT.TDS.DPPF.XP.ZS,1,1,0.33
Afghanistan,AFG,SDDS/e-GDDS subscription,SPI.D2.1.GDDS,0.5,0.5,0.5
Afghanistan,AFG,SPI Overall Score,SPI.INDEX,59.1775,59.3283333333333,57.0895833333333
Afghanistan,AFG,System of national accounts in use,SPI.D5.2.1.SNAU,0.5,0.5,0.5
Albania,ALB,Business process,SPI.D5.2.10.GSBP,1,1,1
Albania,ALB,Central government accounting status,SPI.D5.2.7.CGOV,1,1,1
Albania,ALB,Classification of household consumption,SPI.D5.2.5.HOUS,1,1,1
Albania,ALB,Classification of national industry,SPI.D5.2.3.CNIN,1,1,1
Albania,ALB,Classification of status of employment,SPI.D5.2.6.EMPL,1,1,1
Albania,ALB,Compilation of government finance statistics,SPI.D5.2.8.FINA,1,1,1
Albania,ALB,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1,1,1
Albania,ALB,CPI base year,SPI.D5.2.4.CPIBY,1,1,0.5
Albania,ALB,CRVS (WDI),SPI.D4.2.3.CRVS,1,1,1
Albania,ALB,Labor force participation rate by sex and age (%),SPI.D1.5.LFP,1,1,1
Albania,ALB,National Accounts base year,SPI.D5.2.2.NABY,1,1,1
Albania,ALB,Pillar 1 - Data Use - Score,SPI.INDEX.PIL1,100,100,100
Albania,ALB,Pillar 2 - Data Services - Score,SPI.INDEX.PIL2,68.6333333333333,69.7666666666667,69.7666666666667
Albania,ALB,Pillar 3 - Data Products - Score,SPI.INDEX.PIL3,87.24375,80.05625,84.14375
Albania,ALB,Pillar 4 - Data Sources - Score,SPI.INDEX.PIL4,73.025,72.3083333333333,76.475
Albania,ALB,Pillar 5 - Data Infrastructure - Score,SPI.INDEX.PIL5,100,100,95
Albania,ALB,Quality of Debt service data according to World Bank,SPI.D1.5.DT.TDS.DPPF.XP.ZS,1,1,1
Albania,ALB,SDDS/e-GDDS subscription,SPI.D2.1.GDDS,0.5,0.5,0.5
Albania,ALB,SPI Overall Score,SPI.INDEX,85.7804166666667,84.42625,85.0770833333333
Albania,ALB,System of national accounts in use,SPI.D5.2.1.SNAU,1,1,1
Algeria,DZA,Business process,SPI.D5.2.10.GSBP,0,0,0
Algeria,DZA,Central government accounting status,SPI.D5.2.7.CGOV,0,0,0
Algeria,DZA,Classification of household consumption,SPI.D5.2.5.HOUS,1,1,1
Algeria,DZA,Classification of national industry,SPI.D5.2.3.CNIN,0.5,0.5,0.5
Algeria,DZA,Classification of status of employment,SPI.D5.2.6.EMPL,1,1,1
Algeria,DZA,Compilation of government finance statistics,SPI.D5.2.8.FINA,0,0,0
Algeria,DZA,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1,1,1
Algeria,DZA,CPI base year,SPI.D5.2.4.CPIBY,0,0,0
Algeria,DZA,CRVS (WDI),SPI.D4.2.3.CRVS,1,1,1
Algeria,DZA,Labor force participation rate by sex and age (%),SPI.D1.5.LFP,1,1,1
Algeria,DZA,National Accounts base year,SPI.D5.2.2.NABY,1,1,1
Algeria,DZA,Pillar 1 - Data Use - Score,SPI.INDEX.PIL1,80,80,80
Algeria,DZA,Pillar 2 - Data Services - Score,SPI.INDEX.PIL2,58.7666666666667,57.8333333333333,57.8333333333333
Algeria,DZA,Pillar 3 - Data Products - Score,SPI.INDEX.PIL3,82.0125,73.225,75.50625
Algeria,DZA,Pillar 4 - Data Sources - Score,SPI.INDEX.PIL4,53.2416666666667,50.125,50.125
Algeria,DZA,Pillar 5 - Data Infrastructure - Score,SPI.INDEX.PIL5,50,50,50
Algeria,DZA,Quality of Debt service data according to World Bank,SPI.D1.5.DT.TDS.DPPF.XP.ZS,1,1,1
Algeria,DZA,SDDS/e-GDDS subscription,SPI.D2.1.GDDS,0.5,0.5,0.5
Algeria,DZA,SPI Overall Score,SPI.INDEX,64.8041666666667,62.2366666666667,62.6929166666667
Algeria,DZA,System of national accounts in use,SPI.D5.2.1.SNAU,0.5,0.5,0.5
American Samoa,ASM,Business process,SPI.D5.2.10.GSBP,..,..,..
American Samoa,ASM,Central government accounting status,SPI.D5.2.7.CGOV,..,..,..
American Samoa,ASM,Classification of household consumption,SPI.D5.2.5.HOUS,..,..,..
American Samoa,ASM,Classification of national industry,SPI.D5.2.3.CNIN,..,..,..
American Samoa,ASM,Classification of status of employment,SPI.D5.2.6.EMPL,..,..,..
American Samoa,ASM,Compilation of government finance statistics,SPI.D5.2.8.FINA,..,..,..
American Samoa,ASM,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,..,..,..
American Samoa,ASM,CPI base year,SPI.D5.2.4.CPIBY,..,..,..
American Samoa,ASM,CRVS (WDI),SPI.D4.2.3.CRVS,1,1,1
American Samoa,ASM,Labor force participation rate by sex and age (%),SPI.D1.5.LFP,0,0,0
American Samoa,ASM,National Accounts base year,SPI.D5.2.2.NABY,0.5,1,1
American Samoa,ASM,Pillar 1 - Data Use - Score,SPI.INDEX.PIL1,20,20,40
American Samoa,ASM,Pillar 2 - Data Services - Score,SPI.INDEX.PIL2,..,..,..
American Samoa,ASM,Pillar 3 - Data Products - Score,SPI.INDEX.PIL3,22.625,20.7,18.475
American Samoa,ASM,Pillar 4 - Data Sources - Score,SPI.INDEX.PIL4,..,..,..
American Samoa,ASM,Pillar 5 - Data Infrastructure - Score,SPI.INDEX.PIL5,..,..,..
American Samoa,ASM,Quality of Debt service data according to World Bank,SPI.D1.5.DT.TDS.DPPF.XP.ZS,0,0,1
American Samoa,ASM,SDDS/e-GDDS subscription,SPI.D2.1.GDDS,0,0,0
American Samoa,ASM,SPI Overall Score,SPI.INDEX,..,..,..
American Samoa,ASM,System of national accounts in use,SPI.D5.2.1.SNAU,1,1,1
Andorra,AND,Business process,SPI.D5.2.10.GSBP,0,0,0
Andorra,AND,Central government accounting status,SPI.D5.2.7.CGOV,0,0,0
Andorra,AND,Classification of household consumption,SPI.D5.2.5.HOUS,0,0,0
